ID,Lot Frontage,Lot Area,Year Built,1st Flr SF,Gr Liv Area,Garage Area,Neighborhood,Lot Config,Lot Shape,Overall Qual,Overall Cond,Year Remod/Add,2nd Flr SF,TotRms AbvGrd,SalePrice,SalePrice_BoxCox,SalePrice_BoxCox_Normalized,Total Bsmt SF
727,60.0,7879,1920,720,720,0.0,IDOTRR,Inside,Reg,4,5,1950,0,4,34900,10.889815670138399,1651023.862729958,720.0
728,72.0,9392,1900,797,797,0.0,IDOTRR,Corner,Reg,3,3,1950,0,5,44000,11.141028698072148,1689110.7060990888,245.0
729,144.0,21384,1923,1072,1576,528.0,BrkSide,Inside,Reg,5,6,2004,504,6,223500,12.915661776697167,1958165.9086067204,1324.0
730,,6615,1923,1432,1432,216.0,BrkSide,Inside,Reg,6,6,1950,0,6,149000,12.47085489470052,1890727.9648684456,1022.0
731,55.0,7264,1925,952,1548,672.0,BrkSide,Inside,Reg,7,7,2007,596,5,205000,12.820761294744583,1943777.8817535243,952.0
732,50.0,4960,1930,1001,1654,336.0,BrkSide,Inside,Reg,5,7,1982,653,7,137000,12.378914642628803,1876788.7436076074,297.0
733,,8854,1916,952,952,192.0,BrkSide,Inside,Reg,6,6,1950,0,4,121000,12.243037039710513,1856188.1042924875,952.0
734,50.0,6000,1936,757,1324,240.0,BrkSide,Inside,Reg,4,6,1950,567,6,128000,12.304553346131259,1865514.6983253085,672.0
735,50.0,6000,1937,786,1176,624.0,BrkSide,Inside,Reg,6,9,2000,390,4,134900,12.362006763803244,1874225.3107401694,698.0
736,50.0,6000,1925,884,1348,216.0,BrkSide,Corner,Reg,5,8,1997,464,5,117000,12.206279038744206,1850615.1599397168,884.0
737,50.0,6000,1939,825,1412,280.0,BrkSide,Inside,Reg,6,6,1950,587,6,132500,12.342360658540704,1871246.730607993,780.0
738,60.0,6000,1924,822,1142,320.0,BrkSide,Corner,Reg,5,5,1950,320,6,93000,11.955503786725863,1812594.6885372705,468.0
739,50.0,6000,1926,904,904,180.0,BrkSide,Inside,Reg,6,7,2004,0,4,119000,12.22481131124397,1853424.8699526808,884.0
740,60.0,6911,1924,1301,1301,440.0,BrkSide,FR2,Reg,5,5,1950,0,5,100000,12.034728695038693,1824606.1144520135,1145.0
741,51.0,6120,1936,1067,1539,576.0,BrkSide,Corner,Reg,5,6,1950,472,5,141500,12.41429602572677,1882152.9765350092,927.0
742,51.0,6120,1935,989,1573,240.0,BrkSide,Inside,Reg,4,7,1995,584,6,133000,12.346482558172092,1871871.658968338,884.0
743,51.0,6120,1936,800,800,0.0,BrkSide,Inside,Reg,2,3,1950,0,4,60000,11.477996989546325,1740199.053878273,264.0
744,51.0,6120,1931,875,875,180.0,BrkSide,Corner,Reg,5,7,1993,0,5,105000,12.088017281578024,1832685.2895870747,715.0
745,51.0,6120,1925,995,995,264.0,BrkSide,Inside,Reg,5,6,1999,0,5,115000,12.18742969204927,1847757.3777574566,960.0
746,51.0,6120,1938,994,1582,250.0,BrkSide,Inside,Reg,5,6,1950,588,6,150000,12.478181728317502,1891838.7988353644,952.0
747,50.0,8635,1925,1072,1072,1184.0,BrkSide,Inside,Reg,5,5,1950,0,5,126500,12.29165721636346,1863559.4936984903,1072.0
748,,11888,1916,1445,2134,441.0,BrkSide,Inside,IR1,6,6,1994,689,10,214500,12.870509237469703,1951320.2537319702,844.0
749,60.0,11414,1910,1136,2019,532.0,BrkSide,Corner,IR1,7,8,1993,883,8,167500,12.599106389221296,1910172.3966475062,728.0
750,57.0,8094,1915,1048,1768,576.0,OldTown,Inside,Reg,6,6,1950,720,8,155000,12.514103728048559,1897284.9955892342,1048.0
751,50.0,2500,1915,916,1826,164.0,OldTown,Corner,Reg,7,8,2005,910,7,155000,12.514103728048559,1897284.9955892342,910.0
752,68.0,9928,1915,1272,1944,216.0,OldTown,Inside,Reg,7,8,1994,672,8,179900,12.67742379626544,1922046.2347191302,672.0
753,92.0,5520,1912,929,2229,0.0,OldTown,Corner,Reg,6,6,1950,929,8,104000,12.07756396638176,1831100.444319126,755.0
754,50.0,3000,1922,1088,2128,0.0,OldTown,Inside,Reg,5,1,1950,1040,11,62500,11.522407632543636,1746932.2285773456,1040.0
755,57.0,6876,1927,1146,1930,316.0,IDOTRR,Inside,Reg,6,5,1950,784,8,149000,12.47085489470052,1890727.9648684456,720.0
756,52.0,6240,1925,848,1208,539.0,IDOTRR,Inside,Reg,4,5,1950,0,5,103000,12.067010427163552,1829500.4039131775,780.0
757,,5775,1915,741,1427,379.0,OldTown,Corner,IR2,6,7,2002,686,7,123000,12.260966237668473,1858906.3811269975,483.0
758,41.0,5852,1902,978,1864,0.0,OldTown,Corner,IR3,7,5,2000,886,9,97500,12.00708443251978,1820414.919810266,1020.0
759,60.0,5160,1927,1204,1666,384.0,IDOTRR,Corner,Reg,6,6,1950,462,4,135000,12.362817805398366,1874348.274164692,1204.0
760,86.0,5160,1923,892,892,0.0,IDOTRR,Inside,Reg,4,6,1950,0,5,70000,11.645771671672966,1765635.6647579758,858.0
761,60.0,10320,1915,754,1403,308.0,IDOTRR,Inside,Reg,6,7,1965,649,7,116000,12.19689467895568,1849192.380857256,698.0
762,50.0,4280,1946,704,704,220.0,Sawyer,Inside,IR1,4,9,2001,0,4,88750,11.904461978698832,1804856.1513937428,560.0
763,60.0,10800,1987,1200,1200,0.0,Edwards,Inside,Reg,5,5,1988,0,5,179000,12.67192253755394,1921212.1793335413,1200.0
764,60.0,10800,1987,1200,1200,0.0,Edwards,Inside,Reg,5,5,1988,0,5,179000,12.67192253755394,1921212.1793335413,1200.0
765,,10547,1978,1152,1152,252.0,Edwards,Inside,IR1,5,5,1978,0,6,159900,12.54820856646763,1902455.6893612903,1152.0
766,,10020,1922,904,904,0.0,Edwards,Inside,IR1,1,1,1950,0,4,61000,11.495977707514431,1742925.1417509746,683.0
767,54.0,6629,1925,697,1369,300.0,Edwards,Inside,Reg,6,6,1950,672,6,103600,12.07335468540946,1830462.2679219546,672.0
768,60.0,9780,1934,687,1112,226.0,Edwards,Inside,Reg,5,3,1950,425,6,63000,11.531077898088544,1748246.7425915808,585.0
769,70.0,12886,1963,1464,1464,480.0,Sawyer,Inside,IR1,5,6,1999,0,6,175000,12.647135679309187,1917454.2007153702,520.0
770,80.0,8816,1963,1121,1121,480.0,Sawyer,Corner,Reg,5,6,1963,0,5,139000,12.394779954635862,1879194.111109384,1121.0
771,70.0,11184,1978,918,1683,440.0,Sawyer,Inside,Reg,6,5,1978,765,7,172500,12.631356748785452,1915061.9296602695,918.0
772,75.0,11625,1967,1052,1052,668.0,Sawyer,Inside,Reg,5,6,1967,0,6,113500,12.173077956853954,1845581.4862642675,1052.0
773,65.0,7800,1967,899,899,288.0,Sawyer,Inside,Reg,5,7,2004,0,5,130000,12.321516835275267,1868086.5623696875,864.0
774,,8014,1978,1034,1034,504.0,Sawyer,CulDSac,IR1,6,5,1978,0,5,149900,12.477451229621742,1891728.0466596673,456.0
775,,7252,1982,858,858,576.0,Sawyer,CulDSac,IR1,5,5,1982,0,5,134900,12.362006763803244,1874225.3107401694,858.0
776,74.0,8740,1982,860,860,528.0,Sawyer,Inside,IR1,5,6,1982,0,4,137000,12.378914642628803,1876788.7436076074,840.0
777,,11616,1962,1092,1092,288.0,Sawyer,Inside,Reg,5,5,1962,0,6,139000,12.394779954635862,1879194.111109384,1092.0
778,88.0,15400,1961,904,1774,384.0,Sawyer,Inside,Reg,5,5,1961,611,8,165000,12.582621162671286,1907673.0428254565,552.0
779,88.0,15312,1960,1138,1138,480.0,Sawyer,Inside,Reg,6,5,1960,0,6,148000,12.463479100182681,1889609.7078543305,1138.0
780,,15584,1956,2071,2071,336.0,ClearCr,Inside,Reg,5,5,1956,0,9,165000,12.582621162671286,1907673.0428254565,825.0
781,,9000,1947,660,660,0.0,Sawyer,Corner,Reg,2,2,1950,0,5,63900,11.546513684605063,1750586.988987915,0.0
782,,11250,1957,1104,1788,304.0,ClearCr,Inside,Reg,4,5,1989,684,8,161500,12.559120542609497,1904110.07301162,1104.0
783,65.0,25095,1968,1473,1473,452.0,ClearCr,Inside,IR1,5,8,2003,0,5,143000,12.425842086890677,1883903.4949165517,1437.0
784,,17140,1956,1229,1229,284.0,Edwards,Inside,Reg,4,6,1956,0,6,135000,12.362817805398366,1874348.274164692,1134.0
785,,12342,1940,861,861,539.0,Edwards,Inside,IR1,4,5,1950,0,4,82500,11.824813794451218,1792780.5518795562,861.0
786,,10708,1955,1867,1867,303.0,ClearCr,Inside,IR1,5,5,1993,0,7,190000,12.737352669386858,1931132.155233036,1617.0
787,,13680,1955,1733,1733,452.0,Edwards,CulDSac,IR1,3,5,1955,0,8,139600,12.399495393497306,1879909.0269830157,0.0
788,,15635,1954,1383,1383,498.0,Edwards,CulDSac,IR1,4,5,1954,0,6,122000,12.252038098410443,1857552.7704313446,0.0
789,73.0,9855,1956,1689,1689,480.0,Edwards,Corner,Reg,6,5,1956,0,7,127500,12.300271376156855,1864865.5014223144,1436.0
790,68.0,9571,1956,1073,1073,340.0,Edwards,Inside,Reg,5,5,1956,0,5,121500,12.247546758647143,1856871.8306111065,1073.0
791,68.0,9571,1958,1276,1276,350.0,Edwards,Inside,Reg,5,3,1958,0,5,60000,11.477996989546325,1740199.053878273,1276.0
792,50.0,9350,1946,892,1639,240.0,Edwards,Inside,Reg,6,7,1950,747,6,154400,12.509854295837213,1896640.7317929957,747.0
793,50.0,9340,1941,672,672,234.0,Edwards,Inside,Reg,4,6,1950,0,4,113000,12.168252188171804,1844849.8430949429,672.0
794,62.0,7440,1954,1089,1089,252.0,Edwards,Inside,Reg,5,6,1954,0,5,125000,12.278608435278668,1861581.1453404357,1089.0
795,,11500,1957,845,845,290.0,Edwards,CulDSac,IR1,4,3,1957,0,5,84000,11.844462365252394,1795759.50581633,0.0
796,42.0,4235,1984,1049,1049,266.0,Edwards,Inside,Reg,5,5,1984,0,5,139500,12.39871088536322,1879790.0863425941,1049.0
797,60.0,11409,1949,1148,1716,281.0,Edwards,Inside,Reg,5,4,2008,568,8,131000,12.329901704025309,1869357.8068802918,768.0
798,60.0,9060,1939,698,1258,280.0,Edwards,Inside,Reg,6,5,1950,560,6,105000,12.088017281578024,1832685.2895870747,560.0
799,60.0,9084,1940,755,1510,296.0,Edwards,Inside,Reg,4,5,1950,755,7,108000,12.118794547389092,1837351.4842980625,755.0
800,74.0,10778,1990,1061,1061,462.0,SawyerW,Inside,IR1,7,6,1991,0,4,162000,12.56250854285386,1904623.7336115611,1054.0
801,66.0,19255,1983,1338,1338,576.0,SawyerW,Inside,IR1,6,5,1983,0,5,156500,12.524656302127141,1898884.8896686877,520.0
802,79.0,12327,1983,1496,2132,612.0,SawyerW,Inside,IR1,8,8,2009,636,5,316600,13.298779626208724,2016251.071013637,1496.0
803,90.0,14684,1990,2196,2196,701.0,SawyerW,CulDSac,IR1,7,7,1991,0,7,271900,13.131199449307204,1990843.9494088471,2158.0
804,75.0,9317,1993,1006,1775,425.0,SawyerW,Inside,Reg,7,5,1993,769,7,213000,12.8628014506792,1950151.6627929301,740.0
805,85.0,10560,1993,1079,1879,473.0,SawyerW,Corner,Reg,7,5,1994,800,8,239900,12.993484719429503,1969964.7800854433,1079.0
806,80.0,9828,1995,1142,2020,466.0,SawyerW,Inside,IR1,8,5,1995,878,8,239500,12.991650229882076,1969686.6499397655,1128.0
807,120.0,26400,1880,1288,2016,576.0,SawyerW,FR2,Reg,5,7,2007,728,7,131000,12.329901704025309,1869357.8068802918,0.0
808,64.0,7018,1979,1535,1535,410.0,SawyerW,Inside,Reg,5,5,1979,0,8,118964,12.224480470366856,1853374.7105928324,0.0
809,64.0,7018,1979,1224,1224,528.0,SawyerW,Inside,Reg,5,5,1979,0,6,153337,12.50228532571637,1895493.1870902833,1086.0
810,64.0,7018,1979,1114,2228,720.0,SawyerW,Inside,Reg,5,5,1979,1114,8,147983,12.46335328460882,1889590.6327367143,0.0
811,64.0,7018,1979,1535,1535,400.0,SawyerW,Inside,Reg,5,5,1979,0,8,118858,12.223505750529196,1853226.9316257501,0.0
812,64.0,7018,1979,1535,1535,400.0,SawyerW,Inside,Reg,5,5,1979,0,8,118858,12.223505750529196,1853226.9316257501,0.0
813,64.0,7018,1979,1120,2240,528.0,SawyerW,Inside,Reg,5,5,1979,1120,12,142953,12.425482137863844,1883848.922419578,0.0
814,64.0,7040,1979,1229,1229,672.0,SawyerW,Inside,Reg,5,5,1979,0,6,148325,12.46588164403047,1889973.9616988483,1094.0
815,64.0,7007,1979,1513,1513,400.0,SawyerW,Inside,Reg,5,5,1979,0,8,113722,12.175213839089913,1845905.3110787878,0.0
816,,11855,2000,1168,2787,820.0,SawyerW,Inside,Reg,7,5,2000,1619,8,269500,13.121443877039024,1989364.890157778,1168.0
817,,7939,2000,1168,2787,820.0,SawyerW,Inside,Reg,7,5,2000,1619,8,269500,13.121443877039024,1989364.890157778,1168.0
818,,7976,2000,1168,2787,820.0,SawyerW,Inside,Reg,7,5,2000,1619,8,269500,13.121443877039024,1989364.890157778,1168.0
819,84.0,10933,2009,1680,1680,1138.0,CollgCr,Inside,Reg,9,5,2009,0,8,323262,13.321722377382404,2019729.4613566694,1555.0
820,79.0,10637,2007,1718,1718,826.0,CollgCr,Inside,Reg,8,5,2008,0,7,297000,13.228393130483028,2005579.6521781674,1705.0
821,61.0,10226,2008,1630,1630,860.0,CollgCr,Inside,IR1,8,5,2008,0,8,295493,13.222791850435446,2004730.4323841413,1622.0
822,65.0,10816,2008,1720,1720,846.0,CollgCr,Inside,IR1,9,5,2008,0,8,332000,13.35111329420669,2024185.469290527,1720.0
823,71.0,9178,2008,1468,1468,904.0,CollgCr,Inside,Reg,8,5,2008,0,6,239900,12.993484719429503,1969964.7800854433,1468.0
824,68.0,10769,2007,866,1768,578.0,CollgCr,Inside,IR1,8,5,2007,902,7,212000,12.857632942807339,1949368.056339924,866.0
825,77.0,11422,2007,1838,1838,524.0,CollgCr,Inside,IR1,8,5,2008,0,7,272500,13.133624990198465,1991211.689875062,1838.0
826,122.0,11923,2007,1800,1800,702.0,CollgCr,Corner,IR1,9,5,2007,0,7,239000,12.989352837585644,1969338.3383045308,1800.0
827,68.0,8814,2006,1604,1604,660.0,CollgCr,Inside,Reg,7,5,2006,0,8,220000,12.898320618251024,1955536.785463665,1604.0
828,64.0,6762,2007,1290,1290,662.0,CollgCr,Inside,Reg,7,5,2007,0,6,200000,12.793651258901441,1939667.6821457162,1282.0
829,95.0,10324,2008,1254,1254,810.0,CollgCr,Corner,IR1,8,5,2008,0,5,221800,12.907272847444961,1956894.0484763284,1254.0
830,64.0,7314,2007,1232,1232,632.0,CollgCr,Inside,Reg,7,5,2007,0,6,194500,12.763042227093631,1935026.9936840825,1232.0
831,78.0,11645,2005,1498,1498,844.0,CollgCr,Inside,Reg,8,5,2006,0,7,237000,12.98011532334383,1967937.8227303936,1498.0
832,79.0,11646,2005,704,1422,440.0,CollgCr,Inside,IR1,6,5,2006,718,7,173000,12.634530610841592,1915543.1243976685,704.0
833,,12800,1989,1644,1644,569.0,SawyerW,Inside,Reg,7,5,1989,0,5,275000,13.143674688232954,1992735.3420442767,1518.0
834,,16698,1992,944,1759,525.0,ClearCr,CulDSac,IR1,7,5,1993,815,7,233500,12.963761951763244,1965458.4596692086,1449.0
835,,28698,1967,1160,2126,538.0,ClearCr,CulDSac,IR2,5,5,1967,966,7,185000,12.708090805899856,1926695.7132997268,1013.0
836,82.0,12464,1996,1040,1040,576.0,CollgCr,Corner,IR2,5,5,1996,0,6,152000,12.492691092766162,1894038.588773361,1040.0
837,65.0,9757,1994,990,990,440.0,CollgCr,Inside,Reg,5,7,1994,0,5,143000,12.425842086890677,1883903.4949165517,990.0
838,65.0,15426,1997,928,1764,470.0,CollgCr,Inside,IR1,6,5,1997,836,7,231500,12.954307602920546,1964025.0694247205,928.0
839,43.0,10667,1996,827,1661,550.0,CollgCr,CulDSac,IR2,7,6,1996,834,6,212000,12.857632942807339,1949368.056339924,799.0
840,65.0,14753,1998,1463,1463,539.0,CollgCr,Inside,IR2,7,5,1998,0,5,207000,12.83142200987784,1945394.1712860498,1463.0
841,112.0,10859,1994,1097,1097,672.0,CollgCr,Corner,Reg,5,5,1995,0,6,145000,12.44105127001697,1886209.3855794172,1097.0
842,60.0,8072,1994,990,990,480.0,CollgCr,Inside,Reg,5,5,1995,0,5,138000,12.386875820684718,1877995.7516363848,990.0
843,80.0,10400,1998,866,1779,546.0,CollgCr,Corner,Reg,7,5,1998,913,6,197900,12.78206391428745,1937910.9047086278,866.0
844,78.0,10335,1999,1501,1501,577.0,CollgCr,Inside,IR1,7,5,1999,0,6,204000,12.815392170273952,1942963.8594696298,1490.0
845,68.0,9017,1999,1431,1431,666.0,CollgCr,Inside,IR1,7,5,1999,0,6,192000,12.74884398503478,1932874.3735518348,1431.0
846,70.0,8750,1998,928,1772,492.0,CollgCr,Inside,Reg,6,5,1998,844,7,200000,12.793651258901441,1939667.6821457162,928.0
847,68.0,8935,2002,831,1660,493.0,CollgCr,Inside,IR1,7,5,2002,829,7,195000,12.765860133244088,1935454.2213285416,831.0
848,67.0,9808,2002,1573,1573,544.0,CollgCr,Inside,IR1,7,5,2002,0,6,227000,12.93273551615301,1960754.4878923125,1573.0
849,79.0,12420,2001,944,1840,622.0,CollgCr,Inside,Reg,7,5,2001,896,6,230000,12.947163496495815,1962941.9390447019,944.0
850,67.0,16285,2001,1430,1430,605.0,CollgCr,Inside,IR2,7,5,2002,0,6,187100,12.720475241225193,1928573.3390436287,1413.0
851,65.0,10739,2002,1444,1444,577.0,CollgCr,Inside,IR1,7,5,2001,0,6,203000,12.809996863969,1942145.8677123757,1431.0
852,75.0,11166,2001,1492,1492,608.0,CollgCr,Inside,Reg,7,5,2001,0,6,201000,12.799126671653223,1940497.8189804724,1492.0
853,60.0,8430,1978,1040,1040,0.0,CollgCr,Inside,Reg,5,5,1978,0,5,124000,12.269822633908772,1860249.114739155,1040.0
854,,16269,1978,907,907,343.0,CollgCr,CulDSac,IR1,5,5,1978,0,5,140000,12.402627859225918,1880383.9455513142,907.0
855,76.0,6950,1979,914,914,444.0,CollgCr,Inside,IR1,5,7,1979,0,5,134900,12.362006763803244,1874225.3107401694,914.0
856,61.0,8800,1977,1040,1040,484.0,CollgCr,Inside,IR1,5,7,2008,0,5,150500,12.481826987848546,1892391.4629624614,1040.0
857,,7000,1978,864,864,336.0,CollgCr,CulDSac,IR1,5,8,2005,0,6,136500,12.374912402584634,1876181.957045053,864.0
858,,9286,1977,1268,1268,252.0,CollgCr,CulDSac,IR1,5,7,1989,0,5,143500,12.429664080508136,1884482.954005368,1268.0
859,36.0,15523,1972,864,864,338.0,CollgCr,CulDSac,IR1,5,6,1972,0,5,133500,12.350589108987787,1872494.2602680835,864.0
860,60.0,7200,1972,894,894,600.0,CollgCr,Inside,Reg,5,5,1972,0,6,123000,12.260966237668473,1858906.3811269975,894.0
861,60.0,7200,1972,768,768,396.0,CollgCr,Inside,Reg,5,8,2003,0,5,133900,12.353863375359674,1872990.6774781328,768.0
862,70.0,8445,1972,768,768,396.0,CollgCr,Corner,Reg,5,7,2007,0,5,133000,12.346482558172092,1871871.658968338,768.0
863,90.0,11664,2002,1611,1611,1231.0,CollgCr,Corner,Reg,7,5,2002,0,6,250000,13.038826636673068,1976839.1468900468,1569.0
864,,12334,2003,1068,2184,570.0,CollgCr,Inside,IR1,8,5,2003,1116,8,254750,13.05952586715442,1979977.393165287,1068.0
865,,11838,2001,1788,1788,522.0,CollgCr,Inside,Reg,8,5,2001,0,7,236500,12.977793857757094,1967585.8613018154,1753.0
866,,11885,2001,1299,1872,531.0,CollgCr,Inside,Reg,8,5,2001,573,7,261500,13.08829105460026,1984338.5331815667,1299.0
867,,11050,2000,1476,2153,736.0,CollgCr,Inside,Reg,9,5,2000,677,8,313000,13.286181659460604,2014341.071399954,1440.0
868,70.0,8749,2002,840,1725,550.0,CollgCr,Inside,Reg,7,5,2002,885,6,198500,12.78538698800228,1938414.7216846878,840.0
869,,11250,2001,944,1870,608.0,CollgCr,Corner,Reg,7,5,2001,926,6,211000,12.852440184697723,1948580.7732662668,944.0
870,90.0,15750,1999,1513,1513,521.0,CollgCr,FR3,Reg,8,5,2000,0,5,220000,12.898320618251024,1955536.785463665,1462.0
871,73.0,11883,1996,1504,1504,478.0,CollgCr,Inside,Reg,7,5,1996,0,6,203000,12.809996863969,1942145.8677123757,1504.0
872,,12782,2002,1828,1828,523.0,CollgCr,Inside,Reg,8,5,2003,0,7,279500,13.161537783258403,1995443.5968984072,1822.0
873,70.0,8750,1997,1417,1417,511.0,CollgCr,Inside,Reg,7,5,1998,0,7,210000,12.847222946827797,1947789.7787736405,1417.0
874,,9375,1997,1057,2034,645.0,CollgCr,Inside,Reg,7,5,1998,977,8,219500,12.895820986656547,1955157.8119772852,1057.0
875,70.0,8750,1996,909,1716,512.0,CollgCr,Inside,Reg,7,5,1996,807,7,191000,12.743113253292215,1932005.5273615555,880.0
876,70.0,9100,2001,1212,1212,573.0,CollgCr,Inside,Reg,7,5,2001,0,6,178000,12.6657777424887,1920280.5562839336,1212.0
877,75.0,9750,2000,1630,1630,451.0,CollgCr,Inside,Reg,7,5,2001,0,6,213000,12.8628014506792,1950151.6627929301,1630.0
878,,4435,2003,848,848,420.0,CollgCr,Inside,Reg,6,5,2004,0,4,144000,12.433472881653598,1885060.4129606031,848.0
879,,4435,2003,848,848,420.0,CollgCr,Inside,Reg,6,5,2003,0,4,140000,12.402627859225918,1880383.9455513142,848.0
880,85.0,10200,2007,1602,1602,810.0,CollgCr,Inside,Reg,8,5,2007,0,7,293200,13.214214516353756,2003430.007870411,1578.0
881,65.0,9313,2004,864,1728,572.0,CollgCr,Inside,IR1,7,5,2004,864,7,190000,12.737352669386858,1931132.155233036,864.0
882,63.0,8487,2004,1500,1500,570.0,CollgCr,FR2,Reg,7,5,2004,0,6,190000,12.737352669386858,1931132.155233036,1500.0
883,64.0,8633,2005,738,1476,540.0,CollgCr,FR2,Reg,6,5,2005,738,7,173500,12.63769538302876,1916022.941004249,738.0
884,85.0,11069,2007,608,1396,440.0,CollgCr,Corner,Reg,6,5,2007,788,6,170000,12.6153492344072,1912635.0026100783,608.0
885,67.0,8777,1949,1126,1126,520.0,Edwards,Inside,Reg,4,5,2003,0,5,108000,12.118794547389092,1837351.4842980625,0.0
886,75.0,9937,1964,1486,1486,480.0,Edwards,Corner,Reg,5,7,1999,0,7,167000,12.59582896558543,1909675.5007591834,1486.0
887,67.0,8877,1938,816,816,288.0,Edwards,Inside,Reg,4,6,1958,0,3,100000,12.034728695038693,1824606.1144520135,816.0
888,64.0,7301,2003,495,1922,672.0,Edwards,Corner,Reg,7,5,2003,1427,7,198500,12.78538698800228,1938414.7216846878,0.0
889,75.0,7950,1977,698,1426,440.0,Edwards,Corner,IR1,6,6,1977,728,6,159500,12.545463642421367,1902039.5266603774,690.0
890,80.0,10682,1960,1149,1149,544.0,Edwards,Inside,Reg,4,6,1971,0,7,127000,12.295972709974448,1864213.7731782347,1014.0
891,72.0,7200,1976,1125,1125,352.0,Edwards,Inside,Reg,6,6,1976,0,6,125000,12.278608435278668,1861581.1453404357,1041.0
892,86.0,13286,2007,1698,1698,768.0,Edwards,Inside,IR1,9,5,2008,0,8,320000,13.310547854077193,2018035.2724750203,1698.0
893,35.0,3675,2005,1072,1072,525.0,Edwards,Inside,Reg,6,5,2006,0,5,145500,12.444821036637716,1886780.9264425817,547.0
894,50.0,9405,1947,698,698,0.0,Edwards,Inside,Reg,5,9,2008,0,4,118000,12.215584138615547,1852025.9222885019,698.0
895,64.0,6410,1959,876,876,320.0,Edwards,Inside,Reg,4,5,1959,0,5,85000,11.857368913591054,1797716.2900207702,876.0
896,70.0,11767,1950,1368,1368,195.0,Edwards,Inside,Reg,5,5,1950,0,6,120000,12.23396185593086,1854812.1999215828,1078.0
897,50.0,8405,1945,1088,1529,240.0,Edwards,Inside,Reg,4,3,1950,441,9,98000,12.01266912876454,1821261.6253051527,0.0
898,56.0,4060,1922,864,864,0.0,Edwards,Corner,Reg,5,8,1950,0,4,99900,12.033636157146315,1824440.4728850771,864.0
899,74.0,10206,1952,944,944,528.0,Edwards,Corner,Reg,3,3,1952,0,4,82000,11.818185410847079,1791775.6111318667,0.0
900,65.0,10926,1959,1678,1678,0.0,Edwards,Inside,Reg,5,5,1959,0,10,119900,12.23305021336106,1854673.9842086085,1678.0
901,70.0,11767,1956,1560,1560,313.0,Edwards,Inside,Reg,5,5,1956,0,7,103500,12.072299845210926,1830302.3417678415,1150.0
902,,8926,1956,960,960,288.0,Edwards,Corner,IR1,4,3,1956,0,5,112000,12.158536753064917,1843376.8691085917,672.0
903,67.0,12354,1920,684,1196,528.0,Edwards,Corner,Reg,6,8,2000,512,7,110000,12.138844925637665,1840391.3569596305,684.0
904,45.0,8212,1941,854,1298,256.0,Edwards,Inside,Reg,5,6,1950,444,6,122000,12.252038098410443,1857552.7704313446,720.0
905,60.0,10998,1941,984,1604,660.0,Edwards,Inside,Reg,5,5,1960,620,6,117000,12.206279038744206,1850615.1599397168,984.0
906,70.0,6300,1938,832,1268,250.0,SWISU,Corner,Reg,5,4,1950,436,7,160000,12.548893732768592,1902559.5686138994,832.0
907,55.0,4500,1932,848,1520,281.0,SWISU,Inside,IR2,5,5,2000,672,6,159434,12.545010073485752,1901970.7602864762,793.0
908,60.0,8400,1920,438,438,246.0,SWISU,Inside,Reg,2,5,1950,0,3,60000,11.477996989546325,1740199.053878273,290.0
909,60.0,9900,1940,944,1489,240.0,SWISU,Inside,Reg,6,7,1950,545,7,139500,12.39871088536322,1879790.0863425941,778.0
910,102.0,15863,1920,1687,3082,672.0,SWISU,Corner,Reg,7,3,1970,998,12,197000,12.777060510239725,1937152.329933085,824.0
911,43.0,5707,1935,647,1242,180.0,SWISU,Inside,Reg,6,6,1950,595,6,105000,12.088017281578024,1832685.2895870747,583.0
912,65.0,7804,1928,1328,1981,576.0,SWISU,Inside,Reg,4,3,1950,653,7,135000,12.362817805398366,1874348.274164692,1122.0
913,64.0,8574,1916,1232,1232,440.0,Crawfor,Inside,Reg,6,8,2000,0,6,147500,12.459772636443791,1889047.764451006,816.0
914,51.0,6171,1925,1160,1608,216.0,SWISU,Inside,Reg,6,6,1990,448,7,137450,12.38250428477648,1877332.9754866404,976.0
915,60.0,7200,1936,575,1135,576.0,SWISU,Inside,Reg,7,9,2007,560,6,155000,12.514103728048559,1897284.9955892342,560.0
916,57.0,7558,1928,1172,1913,342.0,Crawfor,Inside,Reg,6,6,1950,741,9,177000,12.65959859404829,1919343.7248594624,896.0
917,52.0,6292,1928,877,1477,216.0,SWISU,Inside,Reg,7,7,1950,600,6,145000,12.44105127001697,1886209.3855794172,861.0
918,53.0,7155,1918,628,1228,215.0,Crawfor,Inside,Reg,7,8,1990,600,6,137000,12.378914642628803,1876788.7436076074,600.0
919,53.0,10918,1926,1276,2080,282.0,Crawfor,Inside,Reg,7,9,2004,804,9,234000,12.966112982386408,1965814.903504296,1276.0
920,60.0,13680,1940,840,1567,440.0,Crawfor,Inside,Reg,5,6,1950,727,6,205000,12.820761294744583,1943777.8817535243,840.0
921,,7500,1942,753,1494,213.0,Crawfor,Inside,IR1,6,7,1950,741,7,177500,12.662692486523438,1919812.7952698274,771.0
922,130.0,9600,1940,976,1308,256.0,Crawfor,Inside,IR1,5,7,1950,332,7,160000,12.548893732768592,1902559.5686138994,728.0
923,80.0,14680,1960,1273,1273,307.0,Crawfor,Inside,IR1,5,4,1960,0,5,155000,12.514103728048559,1897284.9955892342,1273.0
924,80.0,13360,1921,964,964,432.0,Crawfor,Inside,IR1,5,7,2006,0,5,163500,12.572610630643904,1906155.3286825886,876.0
