BldgType,GrLivArea,TotalBsmtSF,OverallQual,GarageCars,GarageArea,Neighborhood,YearBuilt,YearRemodAdd,YrSold,SaleType,SaleCondition,TotRmsAbvGrd,FullBath,@1stFlrSF,@2ndFlrSF,SalePrice,Foundation
Single Family Residential,1362,1040,4,3,768,NAmes,1957,1957,2009,WD,Normal,6,1,1362,0,140000,CBlock
Single Family Residential,1728,1048,5,2,576,NAmes,1956,1956,2009,WD,Normal,7,2,1728,0,177625,CBlock
Duplex,1776,1584,5,3,888,NAmes,1958,1958,2009,COD,Abnorml,9,2,1776,0,110000,CBlock
Single Family Residential,1516,1516,6,2,472,NAmes,1964,1964,2009,WD,Normal,6,1,1516,0,167000,CBlock
Single Family Residential,1313,1313,5,2,610,NAmes,1961,1995,2009,WD,Normal,6,1,1313,0,153000,CBlock
Single Family Residential,1292,1292,5,2,520,NAmes,1964,1964,2009,COD,Abnorml,6,1,1292,0,145100,CBlock
Single Family Residential,1154,1154,5,2,480,NAmes,1966,1966,2009,WD,Normal,6,1,1154,0,154000,CBlock
Single Family Residential,2140,744,5,2,549,NAmes,1965,1965,2009,WD,Normal,7,2,825,1315,177500,CBlock
Single Family Residential,1445,1127,6,2,645,NAmes,1964,1964,2009,WD,Normal,7,1,1445,0,158000,CBlock
Single Family Residential,1041,1041,5,1,270,NAmes,1959,1959,2009,WD,Normal,6,1,1041,0,124500,CBlock
Single Family Residential,1576,1208,6,2,368,NAmes,1961,1961,2009,WD,Normal,7,1,1576,0,174500,CBlock
Single Family Residential,960,960,5,1,330,NAmes,1955,1955,2009,WD,Normal,5,1,960,0,122000,CBlock
Single Family Residential,708,420,4,0,0,BrkSide,1940,1950,2009,WD,Normal,5,1,708,0,82500,CBlock
Single Family Residential,1203,709,5,1,352,BrkSide,1950,1950,2009,WD,Normal,5,1,979,224,110000,CBlock
Single Family Residential,1505,1505,6,2,505,NAmes,1953,1953,2009,WD,Normal,6,1,1505,0,149500,CBlock
Single Family Residential,1691,1680,6,2,550,NAmes,1967,1967,2009,WD,Normal,5,1,1691,0,175000,CBlock
Single Family Residential,1644,1416,6,2,418,NAmes,1953,1953,2009,WD,Normal,7,1,1644,0,167000,CBlock
Single Family Residential,1050,1050,5,1,338,NAmes,1956,1956,2009,WD,Normal,5,1,1050,0,128900,CBlock
Single Family Residential,1668,856,6,1,271,NAmes,1950,2005,2009,WD,Normal,6,1,1112,556,140000,CBlock
Single Family Residential,1113,1113,5,1,264,NAmes,1950,2007,2009,WD,Normal,5,1,1113,0,147000,CBlock
Duplex,1584,1584,5,3,792,NAmes,1967,1967,2009,WD,Normal,8,2,1584,0,124000,CBlock
Single Family Residential,1453,1453,6,2,530,NAmes,1961,1961,2009,WD,Normal,6,2,1453,0,187500,CBlock
Single Family Residential,1394,1394,6,2,514,NAmes,1963,1963,2009,WD,Normal,6,1,1394,0,159000,CBlock
Single Family Residential,1567,1562,6,2,542,NAmes,1966,2008,2009,WD,Normal,5,2,1567,0,256000,CBlock
Single Family Residential,1986,768,7,2,486,NAmes,1965,1990,2009,WD,Normal,7,2,1186,800,205000,CBlock
Single Family Residential,2142,896,6,1,509,NAmes,1968,1968,2009,WD,Normal,8,2,1182,960,193500,CBlock
Single Family Residential,1392,1392,6,2,576,NAmes,1968,1968,2009,WD,Normal,5,1,1392,0,110000,CBlock
Single Family Residential,1738,715,4,1,368,NAmes,1920,2007,2009,WD,Normal,7,2,1281,457,104900,BrkTil
Single Family Residential,1144,1169,5,1,286,NAmes,1956,1956,2009,WD,Normal,6,1,1144,0,150000,CBlock
Single Family Residential,1478,1478,6,2,442,NAmes,1957,1957,2009,WD,Normal,6,1,1478,0,156500,CBlock
Single Family Residential,1329,1329,7,2,441,NAmes,1960,1960,2009,WD,Normal,5,1,1329,0,176000,CBlock
Single Family Residential,988,988,6,1,297,NAmes,1959,1998,2009,WD,Normal,6,2,988,0,149500,CBlock
Single Family Residential,1632,1240,6,1,338,NAmes,1958,1988,2009,WD,Normal,6,2,1632,0,139000,CBlock
Single Family Residential,1215,1215,6,1,297,NAmes,1958,1998,2009,WD,Normal,6,1,1215,0,155000,CBlock
Single Family Residential,1202,1202,5,1,304,NAmes,1956,1956,2009,COD,Abnorml,6,1,1202,0,120000,CBlock
Single Family Residential,1382,1382,5,1,350,NAmes,1955,1955,2009,WD,Normal,6,1,1382,0,153000,CBlock
Single Family Residential,1200,1200,4,1,294,NAmes,1956,1956,2009,WD,Family,6,1,1200,0,144000,CBlock
Single Family Residential,1382,1362,6,2,884,NAmes,1962,1962,2009,WD,Normal,6,1,1382,0,176000,CBlock
Single Family Residential,1297,1297,5,2,498,NAmes,1954,1990,2009,WD,Normal,5,1,1297,0,153000,CBlock
Duplex,1866,1866,5,2,495,NAmes,1958,1958,2009,WD,Normal,8,2,1866,0,135000,PConc
Single Family Residential,1062,1062,6,1,297,NAmes,1954,1954,2009,WD,Normal,6,1,1062,0,131000,CBlock
Single Family Residential,1319,608,5,1,270,NAmes,1953,1953,2009,WD,Normal,5,1,1319,0,123000,PConc
Single Family Residential,1112,631,5,2,480,NAmes,1951,1951,2009,WD,Normal,5,1,1112,0,126000,CBlock
Single Family Residential,1005,1005,4,2,672,NAmes,1955,1955,2009,WD,Normal,5,1,1005,0,115000,CBlock
Single Family Residential,1363,1008,5,1,288,NAmes,1951,2000,2009,WD,Normal,6,1,1363,0,164900,CBlock
Single Family Residential,793,793,5,1,240,NAmes,1945,1950,2009,WD,Normal,4,1,793,0,113000,CBlock
Single Family Residential,1031,1031,5,1,230,NAmes,1952,2005,2009,WD,Normal,5,1,1031,0,145500,CBlock
Single Family Residential,1210,0,5,1,616,NAmes,1953,1953,2009,ConLD,Normal,7,1,1210,0,102900,Slab
Two Family Conversion,1699,978,3,2,420,OldTown,1900,1970,2009,WD,Abnorml,7,2,1014,685,95000,CBlock
Single Family Residential,1527,699,7,2,410,NAmes,1948,1999,2009,WD,Normal,6,1,801,726,152500,CBlock
Single Family Residential,1200,1200,5,1,246,NAmes,1950,1950,2009,WD,Normal,6,1,1200,0,129900,CBlock
Single Family Residential,972,972,6,1,240,NAmes,1948,2002,2009,WD,Normal,5,1,972,0,132000,CBlock
Single Family Residential,792,792,3,1,366,OldTown,1958,1958,2009,WD,Normal,4,1,792,0,99900,CBlock
Single Family Residential,1656,660,5,1,180,OldTown,1916,1987,2009,WD,Normal,8,2,808,704,135000,CBlock
Single Family Residential,1352,676,5,2,720,OldTown,1939,2006,2009,WD,Normal,7,2,676,676,149000,BrkTil
Single Family Residential,1039,405,4,1,281,OldTown,1900,2003,2009,WD,Normal,6,1,717,322,114000,BrkTil
Single Family Residential,792,768,5,1,240,OldTown,1924,2006,2009,WD,Normal,5,1,792,0,109500,BrkTil
Single Family Residential,1078,1054,5,1,264,OldTown,1925,1950,2009,WD,Normal,6,1,1078,0,125000,BrkTil
Single Family Residential,2377,1313,4,2,528,OldTown,1915,1950,2009,WD,Normal,8,2,1313,0,142900,BrkTil
Single Family Residential,1690,560,7,2,624,OldTown,1910,2008,2009,WD,Normal,5,2,930,760,156500,PConc
Single Family Residential,599,416,2,0,0,OldTown,1940,1950,2009,WD,Normal,4,1,599,0,59000,PConc
Single Family Residential,1374,840,4,1,338,OldTown,1920,1950,2009,WD,Normal,6,1,840,534,105000,PConc
Single Family Residential,846,720,5,2,576,OldTown,1920,1950,2009,WD,Normal,4,1,846,0,106000,BrkTil
Single Family Residential,725,630,3,1,320,OldTown,1890,1998,2009,WD,Normal,4,1,725,0,78500,BrkTil
Duplex,2544,1248,6,3,907,NAmes,1969,1969,2009,WD,Normal,12,2,1248,1296,190000,CBlock
Single Family Residential,1380,1380,6,1,364,NAmes,1963,1963,2009,WD,Normal,6,1,1380,0,154000,CBlock
Single Family Residential,1040,1040,6,2,480,NAmes,1967,1967,2009,WD,Normal,6,1,1040,0,163000,CBlock
Duplex,2634,1248,5,4,968,NAmes,1969,1969,2009,WD,Normal,12,2,1338,1296,200000,CBlock
Single Family Residential,951,951,6,2,480,NAmes,1958,2007,2009,WD,Normal,6,1,951,0,143500,CBlock
Single Family Residential,1105,1105,6,1,308,NAmes,1957,1957,2009,WD,Normal,5,1,1105,0,135000,CBlock
Single Family Residential,1306,992,5,1,756,NAmes,1957,2000,2009,WD,Normal,5,1,1306,0,153000,CBlock
Single Family Residential,1478,1478,6,2,498,NAmes,1960,1960,2009,WD,Normal,6,2,1478,0,157500,CBlock
Single Family Residential,1142,160,6,1,384,NAmes,1958,1958,2009,WD,Normal,5,1,1142,0,113500,CBlock
Single Family Residential,1268,832,5,1,288,NAmes,1949,1950,2009,WD,Normal,6,1,1036,0,133000,CBlock
Duplex,1040,0,3,2,400,NAmes,1950,1950,2009,WD,Normal,6,2,1040,0,92900,Slab
Single Family Residential,1133,795,6,2,900,NAmes,1950,1950,2009,COD,Abnorml,5,1,765,368,128500,CBlock
Duplex,1040,0,4,2,420,NAmes,1949,1950,2009,WD,Normal,6,2,1040,0,90000,Slab
Single Family Residential,1904,1208,5,1,240,NAmes,1950,1982,2009,WD,Normal,7,1,1136,768,138000,CBlock
Single Family Residential,1041,1041,5,1,294,NAmes,1958,1958,2009,WD,Normal,6,1,1041,0,128000,CBlock
Single Family Residential,1339,1029,5,1,294,NAmes,1958,1965,2009,COD,Abnorml,6,1,1339,0,139000,CBlock
Single Family Residential,732,732,5,1,240,NAmes,1952,1952,2009,WD,Normal,4,1,732,0,118900,CBlock
Single Family Residential,1183,528,5,1,288,NAmes,1959,1959,2009,WD,Normal,6,1,1183,0,138000,CBlock
Single Family Residential,1148,1148,5,1,672,NAmes,1959,1959,2009,WD,Normal,6,1,1148,0,132500,CBlock
Single Family Residential,1461,832,4,1,384,NAmes,1949,1996,2009,WD,Normal,6,2,832,629,133500,CBlock
Single Family Residential,1495,864,6,2,576,NAmes,1948,1994,2009,COD,Abnorml,6,1,1064,0,135000,CBlock
Single Family Residential,1806,780,6,2,483,NAmes,1964,1964,2009,WD,Normal,8,1,993,813,144750,CBlock
Duplex,941,941,5,2,564,NAmes,1978,1978,2009,WD,Normal,4,1,941,0,145000,CBlock
Single Family Residential,1045,1045,6,1,264,NAmes,1963,1963,2009,WD,Normal,6,1,1045,0,127000,CBlock
Single Family Residential,894,894,5,1,308,NAmes,1962,1962,2009,WD,Normal,5,1,894,0,109500,CBlock
Single Family Residential,1224,818,6,1,210,OldTown,1926,2004,2009,WD,Normal,5,1,818,406,115000,CBlock
Single Family Residential,1230,440,5,2,440,OldTown,1910,1981,2009,WD,Normal,5,1,682,548,110000,PConc
Single Family Residential,1378,901,6,1,162,OldTown,1935,1998,2009,WD,Normal,6,1,861,517,128900,PConc
Duplex,1944,972,6,2,324,OldTown,1910,1950,2009,WD,Normal,12,2,972,972,103500,CBlock
Single Family Residential,1131,676,5,1,200,OldTown,1941,1950,2009,WD,Abnorml,5,1,676,455,66500,CBlock
Single Family Residential,1306,240,5,2,472,OldTown,1910,2003,2009,WD,Normal,6,1,810,496,130000,CBlock
Single Family Residential,1464,504,5,0,0,OldTown,1910,2002,2009,WD,Normal,7,2,764,700,129000,CBlock
Single Family Residential,1558,690,5,2,400,OldTown,1939,1950,2009,WD,Normal,7,1,868,690,150000,BrkTil
Single Family Residential,2372,994,5,1,432,OldTown,1892,1965,2009,WD,Normal,11,2,1378,994,107500,Stone
Two Family Conversion,1701,600,4,0,0,OldTown,1920,1950,2009,WD,Normal,8,2,1101,600,94550,BrkTil
Duplex,1960,960,5,2,400,OldTown,1952,1952,2009,COD,Normal,10,2,960,1000,124500,CBlock
Single Family Residential,1389,651,7,1,240,OldTown,1946,1992,2009,WD,Normal,6,1,707,682,135000,CBlock
Single Family Residential,1447,801,5,0,0,OldTown,1910,1950,2009,WD,Normal,6,1,801,646,103000,BrkTil
Two Family Conversion,936,936,4,2,576,OldTown,1953,1953,2009,WD,Normal,4,1,936,0,93000,CBlock
Single Family Residential,1328,768,5,1,308,OldTown,1950,1970,2009,WD,Normal,6,1,768,560,129500,CBlock
Two Family Conversion,1387,811,5,1,256,OldTown,1954,1954,2009,WD,Normal,7,2,811,576,93000,CBlock
Single Family Residential,861,861,4,2,288,OldTown,1920,1950,2009,Oth,Normal,5,1,861,0,80000,BrkTil
Single Family Residential,612,0,2,1,308,OldTown,1940,1950,2009,WD,Normal,4,1,612,0,45000,BrkTil
Single Family Residential,968,600,3,0,0,OldTown,1910,1950,2009,WD,Abnorml,6,1,600,368,37900,BrkTil
Single Family Residential,886,190,5,1,273,OldTown,1938,1996,2009,WD,Normal,4,1,886,0,91300,BrkTil
Single Family Residential,792,624,5,1,287,OldTown,1923,1950,2009,WD,Normal,5,1,792,0,99500,PConc
Two Family Conversion,1452,736,4,0,0,OldTown,1920,2008,2009,New,Partial,8,2,736,716,113000,BrkTil
Single Family Residential,1510,677,4,2,720,OldTown,1910,1950,2009,WD,Normal,7,2,833,677,87500,BrkTil
Single Family Residential,1284,720,5,1,240,OldTown,1947,1950,2009,WD,Normal,5,1,720,564,110000,CBlock
Single Family Residential,2138,849,5,2,360,OldTown,1898,1965,2009,WD,Normal,11,2,1075,1063,106000,PConc
Single Family Residential,2640,1240,7,4,864,OldTown,1880,2003,2009,WD,Normal,8,1,1320,1320,265979,Stone
Single Family Residential,2007,917,6,1,357,OldTown,1900,1950,2009,WD,Normal,8,2,1090,917,160000,BrkTil
Single Family Residential,1288,624,6,1,280,OldTown,1917,2007,2009,WD,Normal,5,1,664,624,119000,BrkTil
Single Family Residential,1742,916,8,2,424,OldTown,1882,1986,2009,WD,Normal,8,1,916,826,168000,BrkTil
Single Family Residential,816,624,4,0,0,OldTown,1910,1950,2009,WD,Normal,5,1,816,0,58500,BrkTil
Single Family Residential,1482,650,7,2,324,OldTown,1920,1988,2009,WD,Normal,7,1,832,650,143000,PConc
Single Family Residential,1022,1022,5,1,280,OldTown,1910,2006,2009,WD,Normal,4,1,1022,0,85000,BrkTil
Single Family Residential,1869,1088,5,2,456,OldTown,1890,1996,2009,WD,Normal,7,1,1188,561,124900,BrkTil
Single Family Residential,1480,972,6,1,207,OldTown,1920,1950,2009,ConLI,Family,6,1,1044,0,119000,BrkTil
Single Family Residential,1521,741,6,3,640,OldTown,1910,2002,2009,WD,Normal,8,1,780,741,146500,PConc
Single Family Residential,720,720,4,0,0,IDOTRR,1920,1950,2009,WD,Abnorml,4,1,720,0,34900,CBlock
Single Family Residential,797,245,3,0,0,IDOTRR,1900,1950,2009,WD,Abnorml,5,1,797,0,44000,CBlock
Single Family Residential,1576,1324,5,2,528,BrkSide,1923,2004,2009,WD,Normal,6,1,1072,504,223500,CBlock
Single Family Residential,1432,1022,6,1,216,BrkSide,1923,1950,2009,WD,Normal,6,1,1432,0,149000,BrkTil
Single Family Residential,1548,952,7,2,672,BrkSide,1925,2007,2009,WD,Normal,5,2,952,596,205000,BrkTil
Single Family Residential,1654,297,5,1,336,BrkSide,1930,1982,2009,WD,Normal,7,2,1001,653,137000,CBlock
Single Family Residential,952,952,6,1,192,BrkSide,1916,1950,2009,WD,Normal,4,1,952,0,121000,BrkTil
Single Family Residential,1324,672,4,1,240,BrkSide,1936,1950,2009,WD,Normal,6,1,757,567,128000,BrkTil
Single Family Residential,1176,698,6,2,624,BrkSide,1937,2000,2009,WD,Normal,4,1,786,390,134900,BrkTil
Single Family Residential,1348,884,5,1,216,BrkSide,1925,1997,2009,WD,Normal,5,1,884,464,117000,BrkTil
Single Family Residential,1412,780,6,1,280,BrkSide,1939,1950,2009,WD,Normal,6,1,825,587,132500,CBlock
Single Family Residential,1142,468,5,1,320,BrkSide,1924,1950,2009,WD,Normal,6,1,822,320,93000,BrkTil
Single Family Residential,904,884,6,1,180,BrkSide,1926,2004,2009,WD,Normal,4,1,904,0,119000,PConc
Single Family Residential,1301,1145,5,2,440,BrkSide,1924,1950,2009,WD,Normal,5,1,1301,0,100000,PConc
Single Family Residential,1539,927,5,2,576,BrkSide,1936,1950,2009,WD,Normal,5,1,1067,472,141500,BrkTil
Single Family Residential,1573,884,4,1,240,BrkSide,1935,1995,2009,WD,Normal,6,1,989,584,133000,BrkTil
Single Family Residential,800,264,2,0,0,BrkSide,1936,1950,2009,ConLw,Normal,4,1,800,0,60000,BrkTil
Single Family Residential,875,715,5,1,180,BrkSide,1931,1993,2009,WD,Normal,5,1,875,0,105000,BrkTil
Single Family Residential,995,960,5,1,264,BrkSide,1925,1999,2009,WD,Abnorml,5,1,995,0,115000,BrkTil
Single Family Residential,1582,952,5,1,250,BrkSide,1938,1950,2009,WD,Normal,6,2,994,588,150000,BrkTil
Single Family Residential,1072,1072,5,5,1184,BrkSide,1925,1950,2009,WD,Normal,5,1,1072,0,126500,BrkTil
Single Family Residential,2134,844,6,2,441,BrkSide,1916,1994,2009,WD,Normal,10,2,1445,689,214500,BrkTil
Single Family Residential,2019,728,7,2,532,BrkSide,1910,1993,2009,WD,Normal,8,1,1136,883,167500,BrkTil
Single Family Residential,1768,1048,6,2,576,OldTown,1915,1950,2009,WD,Normal,8,2,1048,720,155000,PConc
Single Family Residential,1826,910,7,1,164,OldTown,1915,2005,2009,WD,Normal,7,1,916,910,155000,PConc
Single Family Residential,1944,672,7,1,216,OldTown,1915,1994,2009,WD,Normal,8,2,1272,672,179900,BrkTil
Single Family Residential,2229,755,6,0,0,OldTown,1912,1950,2009,WD,Abnorml,8,1,929,929,104000,CBlock
Duplex,2128,1040,5,0,0,OldTown,1922,1950,2009,WD,Abnorml,11,2,1088,1040,62500,BrkTil
Single Family Residential,1930,720,6,1,316,IDOTRR,1927,1950,2009,WD,Normal,8,2,1146,784,149000,CBlock
Single Family Residential,1208,780,4,2,539,IDOTRR,1925,1950,2009,WD,Normal,5,1,848,0,103000,CBlock
Single Family Residential,1427,483,6,1,379,OldTown,1915,2002,2009,WD,Normal,7,1,741,686,123000,BrkTil
Two Family Conversion,1864,1020,7,0,0,OldTown,1902,2000,2009,WD,Normal,9,2,978,886,97500,BrkTil
Single Family Residential,1666,1204,6,1,384,IDOTRR,1927,1950,2009,WD,Normal,4,1,1204,462,135000,BrkTil
Single Family Residential,892,858,4,0,0,IDOTRR,1923,1950,2009,COD,Abnorml,5,1,892,0,70000,PConc
Two Family Conversion,1403,698,6,1,308,IDOTRR,1915,1965,2009,WD,Normal,7,1,754,649,116000,CBlock
Single Family Residential,704,560,4,1,220,Sawyer,1946,2001,2009,WD,Normal,4,1,704,0,88750,CBlock
Duplex,1200,1200,5,0,0,Edwards,1987,1988,2009,WD,Alloca,5,3,1200,0,179000,CBlock
Duplex,1200,1200,5,0,0,Edwards,1987,1988,2009,WD,Alloca,5,3,1200,0,179000,CBlock
Duplex,1152,1152,5,1,252,Edwards,1978,1978,2009,WD,Normal,6,2,1152,0,159900,PConc
Single Family Residential,904,683,1,0,0,Edwards,1922,1950,2009,WD,Normal,4,0,904,0,61000,BrkTil
Single Family Residential,1369,672,6,1,300,Edwards,1925,1950,2009,WD,Normal,6,2,697,672,103600,BrkTil
Single Family Residential,1112,585,5,1,226,Edwards,1934,1950,2009,WD,Normal,6,2,687,425,63000,PConc
Single Family Residential,1464,520,5,2,480,Sawyer,1963,1999,2009,WD,Normal,6,2,1464,0,175000,CBlock
Single Family Residential,1121,1121,5,2,480,Sawyer,1963,1963,2009,WD,Normal,5,1,1121,0,139000,PConc
Single Family Residential,1683,918,6,2,440,Sawyer,1978,1978,2009,WD,Normal,7,2,918,765,172500,CBlock
Single Family Residential,1052,1052,5,1,668,Sawyer,1967,1967,2009,WD,Abnorml,6,1,1052,0,113500,CBlock
Single Family Residential,899,864,5,1,288,Sawyer,1967,2004,2009,WD,Normal,5,1,899,0,130000,PConc
Single Family Residential,1034,456,6,2,504,Sawyer,1978,1978,2009,WD,Normal,5,1,1034,0,149900,CBlock
Single Family Residential,858,858,5,2,576,Sawyer,1982,1982,2009,WD,Normal,5,1,858,0,134900,CBlock
Single Family Residential,860,840,5,2,528,Sawyer,1982,1982,2009,WD,Normal,4,1,860,0,137000,CBlock
Single Family Residential,1092,1092,5,1,288,Sawyer,1962,1962,2009,WD,Normal,6,1,1092,0,139000,CBlock
Single Family Residential,1774,552,5,1,384,Sawyer,1961,1961,2009,WD,Normal,8,2,904,611,165000,CBlock
Single Family Residential,1138,1138,6,2,480,Sawyer,1960,1960,2009,COD,Normal,6,1,1138,0,148000,CBlock
Single Family Residential,2071,825,5,1,336,ClearCr,1956,1956,2009,WD,Normal,9,1,2071,0,165000,CBlock
Single Family Residential,660,0,2,0,0,Sawyer,1947,1950,2009,WD,Normal,5,1,660,0,63900,Slab
Single Family Residential,1788,1104,4,1,304,ClearCr,1957,1989,2009,WD,Normal,8,1,1104,684,161500,CBlock
Single Family Residential,1473,1437,5,1,452,ClearCr,1968,2003,2009,WD,Partial,5,1,1473,0,143000,CBlock
Single Family Residential,1229,1134,4,1,284,Edwards,1956,1956,2009,WD,Normal,6,1,1229,0,135000,CBlock
Single Family Residential,861,861,4,2,539,Edwards,1940,1950,2009,WD,Normal,4,1,861,0,82500,CBlock
Single Family Residential,1867,1617,5,1,303,ClearCr,1955,1993,2009,COD,Normal,7,1,1867,0,190000,CBlock
Single Family Residential,1733,0,3,2,452,Edwards,1955,1955,2009,WD,Normal,8,2,1733,0,139600,Slab
Single Family Residential,1383,0,4,2,498,Edwards,1954,1954,2009,WD,Normal,6,1,1383,0,122000,CBlock
Single Family Residential,1689,1436,6,2,480,Edwards,1956,1956,2009,COD,Normal,7,1,1689,0,127500,CBlock
Single Family Residential,1073,1073,5,1,340,Edwards,1956,1956,2009,WD,Normal,5,1,1073,0,121500,CBlock
Single Family Residential,1276,1276,5,1,350,Edwards,1958,1958,2009,COD,Abnorml,5,1,1276,0,60000,CBlock
Single Family Residential,1639,747,6,1,240,Edwards,1946,1950,2009,WD,Normal,6,1,892,747,154400,CBlock
Single Family Residential,672,672,4,1,234,Edwards,1941,1950,2009,WD,Normal,4,1,672,0,113000,CBlock
Single Family Residential,1089,1089,5,1,252,Edwards,1954,1954,2009,WD,Normal,5,1,1089,0,125000,CBlock
Single Family Residential,845,0,4,1,290,Edwards,1957,1957,2009,WD,Normal,5,1,845,0,84000,Slab
Townhouse End Unit,1049,1049,5,1,266,Edwards,1984,1984,2009,WD,Normal,5,2,1049,0,139500,CBlock
Single Family Residential,1716,768,5,1,281,Edwards,1949,2008,2009,WD,Normal,8,1,1148,568,131000,CBlock
Single Family Residential,1258,560,6,1,280,Edwards,1939,1950,2009,WD,Normal,6,1,698,560,105000,BrkTil
Single Family Residential,1510,755,4,1,296,Edwards,1940,1950,2009,WD,Normal,7,1,755,755,108000,CBlock
Single Family Residential,1061,1054,7,2,462,SawyerW,1990,1991,2009,WD,Normal,4,1,1061,0,162000,PConc
Single Family Residential,1338,520,6,2,576,SawyerW,1983,1983,2009,WD,Normal,5,1,1338,0,156500,CBlock
Single Family Residential,2132,1496,8,2,612,SawyerW,1983,2009,2009,WD,Normal,5,1,1496,636,316600,CBlock
Single Family Residential,2196,2158,7,3,701,SawyerW,1990,1991,2009,WD,Normal,7,2,2196,0,271900,CBlock
Single Family Residential,1775,740,7,2,425,SawyerW,1993,1993,2009,WD,Normal,7,2,1006,769,213000,PConc
Single Family Residential,1879,1079,7,2,473,SawyerW,1993,1994,2009,WD,Normal,8,2,1079,800,239900,PConc
Single Family Residential,2020,1128,8,2,466,SawyerW,1995,1995,2009,WD,Normal,8,2,1142,878,239500,PConc
Single Family Residential,2016,0,5,2,576,SawyerW,1880,2007,2009,WD,Normal,7,1,1288,728,131000,PConc
Duplex,1535,0,5,2,410,SawyerW,1979,1979,2009,WD,Alloca,8,2,1535,0,118964,Slab
Duplex,1224,1086,5,2,528,SawyerW,1979,1979,2009,WD,Alloca,6,0,1224,0,153337,CBlock
Duplex,2228,0,5,2,720,SawyerW,1979,1979,2009,WD,Alloca,8,2,1114,1114,147983,Slab
Duplex,1535,0,5,2,400,SawyerW,1979,1979,2009,WD,Alloca,8,2,1535,0,118858,Slab
Duplex,1535,0,5,2,400,SawyerW,1979,1979,2009,WD,Alloca,8,2,1535,0,118858,Slab
Duplex,2240,0,5,2,528,SawyerW,1979,1979,2009,WD,Alloca,12,2,1120,1120,142953,Slab
Duplex,1229,1094,5,2,672,SawyerW,1979,1979,2009,WD,Alloca,6,0,1229,0,148325,CBlock
Duplex,1513,0,5,2,400,SawyerW,1979,1979,2009,WD,Alloca,8,2,1513,0,113722,Slab
Duplex,2787,1168,7,4,820,SawyerW,2000,2000,2009,WD,Normal,8,4,1168,1619,269500,PConc
Duplex,2787,1168,7,4,820,SawyerW,2000,2000,2009,WD,Normal,8,4,1168,1619,269500,PConc
Duplex,2787,1168,7,4,820,SawyerW,2000,2000,2009,WD,Normal,8,4,1168,1619,269500,PConc
Single Family Residential,1680,1555,9,3,1138,CollgCr,2009,2009,2009,New,Partial,8,1,1680,0,323262,PConc
Single Family Residential,1718,1705,8,3,826,CollgCr,2007,2008,2009,WD,Normal,7,2,1718,0,297000,PConc
Single Family Residential,1630,1622,8,3,860,CollgCr,2008,2008,2009,WD,Normal,8,2,1630,0,295493,PConc
Single Family Residential,1720,1720,9,3,846,CollgCr,2008,2008,2009,WD,Normal,8,2,1720,0,332000,PConc
Single Family Residential,1468,1468,8,3,904,CollgCr,2008,2008,2009,WD,Normal,6,2,1468,0,239900,PConc
Single Family Residential,1768,866,8,2,578,CollgCr,2007,2007,2009,WD,Normal,7,2,866,902,212000,PConc
Single Family Residential,1838,1838,8,2,524,CollgCr,2007,2008,2009,WD,Normal,7,2,1838,0,272500,PConc
Single Family Residential,1800,1800,9,2,702,CollgCr,2007,2007,2009,WD,Normal,7,2,1800,0,239000,PConc
Single Family Residential,1604,1604,7,2,660,CollgCr,2006,2006,2009,WD,Abnorml,8,2,1604,0,220000,PConc
Single Family Residential,1290,1282,7,2,662,CollgCr,2007,2007,2009,WD,Normal,6,2,1290,0,200000,PConc
Single Family Residential,1254,1254,8,3,810,CollgCr,2008,2008,2009,WD,Normal,5,2,1254,0,221800,PConc
Single Family Residential,1232,1232,7,2,632,CollgCr,2007,2007,2009,WD,Normal,6,2,1232,0,194500,PConc
Single Family Residential,1498,1498,8,3,844,CollgCr,2005,2006,2009,WD,Normal,7,2,1498,0,237000,PConc
Single Family Residential,1422,704,6,2,440,CollgCr,2005,2006,2009,WD,Normal,7,2,704,718,173000,PConc
Single Family Residential,1644,1518,7,2,569,SawyerW,1989,1989,2009,WD,Normal,5,2,1644,0,275000,PConc
Single Family Residential,1759,1449,7,2,525,ClearCr,1992,1993,2009,WD,Normal,7,2,944,815,233500,PConc
Single Family Residential,2126,1013,5,2,538,ClearCr,1967,1967,2009,WD,Abnorml,7,2,1160,966,185000,PConc
Single Family Residential,1040,1040,5,2,576,CollgCr,1996,1996,2009,WD,Normal,6,1,1040,0,152000,PConc
Single Family Residential,990,990,5,1,440,CollgCr,1994,1994,2009,WD,Normal,5,1,990,0,143000,PConc
Single Family Residential,1764,928,6,2,470,CollgCr,1997,1997,2009,WD,Normal,7,2,928,836,231500,PConc
Single Family Residential,1661,799,7,2,550,CollgCr,1996,1996,2009,ConLw,Normal,6,2,827,834,212000,PConc
Single Family Residential,1463,1463,7,2,539,CollgCr,1998,1998,2009,WD,Normal,5,2,1463,0,207000,PConc
Single Family Residential,1097,1097,5,2,672,CollgCr,1994,1995,2009,WD,Normal,6,1,1097,0,145000,PConc
Single Family Residential,990,990,5,2,480,CollgCr,1994,1995,2009,WD,Normal,5,1,990,0,138000,PConc
Single Family Residential,1779,866,7,2,546,CollgCr,1998,1998,2009,WD,Normal,6,2,866,913,197900,PConc
Single Family Residential,1501,1490,7,2,577,CollgCr,1999,1999,2009,WD,Normal,6,2,1501,0,204000,PConc
